음식명(kor_name),음식명(eng_name),에너지(kcal),탄수화물(g),당류(g),지방(g),단백질(g)
쌀밥,rice,159.43,35.1,0,0.21,2.74
현미밥,brown rice,152.76,33.86,0,0.48,2.89
김치볶음밥,kimchi fried rice,131.4,15.86,0.8,1.01,1.75
일반비빔밥,bibimbap,140.6,19.14,0.69,5.06,4.52
카레라이스,curry with rice,130.65,18.52,0,2.13,2.68
유부초밥,fried tofu rice ball,185.28,31.39,2.71,4.49,4.95
일반김밥,kimbap,174.44,31.82,0,2.71,5.14
라면,ramen,92.61,15.12,0,3.23,2.56
닭죽,chicken soup,118.17,9.25,0,4.82,7.59
미역국,seaweed soup,10.03,0.94,0,0.87,0.54
순대국,sundae soup,68.83,2.85,0,4.12,5.15
어묵국,fish cake soup,42.02,6.19,0,0.7,3.81
콩나물국,bean sprouts soup,5.63,0.32,0,0.36,0.46
부대찌개,sausage stew,87.66,7.8,0,4.75,4.62
된장찌개,doenjang stew,36.77,3.99,0,1.32,2.93
찜닭,jjimdak,90.56,9.38,3.83,2.44,7.66
달걀찜,steamed eggs,76,1.92,0,4.37,6.48
불고기,bulgogi,257.86,8.7,0.73,14.52,21.94
달걀말이,rolled omelet,172.24,4.67,0,11.23,12.04
멸치볶음,stir-fried anchovies,346.13,28.47,17.17,10.21,34.85
돼지고기볶음,stir-fried pork,176.57,7.67,2.38,10.47,12.87
소세지볶음,stir-fried sausage,238.02,14.4,2.92,16.62,8.52
떡볶이,tteokbokki,150.38,29.43,2.85,1.48,4.36
돼지고기메추리알장조림,jangjorim,125.94,6.28,1.68,4.21,15.23
닭튀김,chicken,303.27,15.31,0,17.45,18.18
돈가스,pork cutlet,310.32,18.28,0,19.56,13.89
시금치나물,seasoned spinach,75.02,7.63,0,4.74,4.14
깍두기,kkakdugi,35.98,7.89,0.1,0.45,2
배추김치,baechu-kimchi,36.86,8.31,1,0.6,2.29
광어회 ,gwangeo-hoe,116.2,9.34,5.46,1.36,17.2
육회,yukhoe,157.7,10.63,4.7,5.37,16.69
